topology,method,threshold,missing_signature,witness_reference_id,witness_event_specification
A,FST-original,moderate,Compounding moderate disturbance; Recovery lag and temporal overlap,REF-A-Q-2054,"[{""target"":""S1A"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.4,""start_week"":15,""duration_weeks"":2,""recovery_weeks"":2}]"
A,FST-original,moderate,Concentrated dependency; Hidden convergent dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,REF-A-Q-0138,"[{""target"":""S1A"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""T2P"",""magnitude"":0.35,""start_week"":15,""duration_weeks"":2,""recovery_weeks"":3}]"
A,FST-original,moderate,Concentrated dependency; Hidden convergent dependency; Recovery lag and temporal overlap,REF-A-Q-1110,"[{""target"":""demand"",""magnitude"":0.15,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":2},{""target"":""T2P"",""magnitude"":0.35,""start_week"":15,""duration_weeks"":2,""recovery_weeks"":3}]"
A,FST-original,moderate,Concentrated dependency; Propagation-amplified cascade,REF-A-P-0109,"[{""target"":""T2P"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""S1A"",""magnitude"":0.5,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3}]"
A,FST-original,moderate,Concentrated dependency; Propagation-amplified cascade; Recovery lag and temporal overlap,REF-A-Q-0110,"[{""target"":""T2P"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""S1A"",""magnitude"":0.5,""start_week"":15,""duration_weeks"":2,""recovery_weeks"":3}]"
A,FST-original,moderate,Concentrated dependency; Recovery lag and temporal overlap,REF-A-Q-1061,"[{""target"":""T2P"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.25,""start_week"":15,""duration_weeks"":4,""recovery_weeks"":2}]"
A,FST-original,moderate,Hidden convergent dependency; Compounding moderate disturbance,REF-A-P-1027,"[{""target"":""T2P"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.15,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":2}]"
A,FST-original,moderate,Hidden convergent dependency; Compounding moderate disturbance; Propagation-amplified cascade; Recovery lag and temporal overlap,REF-A-Q-0102,"[{""target"":""S1A"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""T2P"",""magnitude"":0.25,""start_week"":15,""duration_weeks"":4,""recovery_weeks"":3}]"
A,FST-original,moderate,Hidden convergent dependency; Compounding moderate disturbance; Recovery lag and temporal overlap,REF-A-Q-1031,"[{""target"":""T2P"",""magnitude"":0.25,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.15,""start_week"":15,""duration_weeks"":3,""recovery_weeks"":2}]"
A,FST-original,severe,Compounding moderate disturbance,REF-A-P-2134,"[{""target"":""S1A"",""magnitude"":0.35,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":3},{""target"":""demand"",""magnitude"":0.4,""start_week"":12,""duration_weeks"":2,""recovery_weeks"":2}]"
